Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.946865,71.41
2,0.479677,74.01
3,0.361131,75.31
4,0.295040,74.37
5,0.241874,74.72
6,0.198540,78.05
7,0.175924,75.85
8,0.146040,76.50
9,0.133353,76.81
10,0.111637,76.50
11,0.098658,77.01
12,0.086982,76.04
13,0.076407,77.35
14,0.067361,75.35
15,0.066412,75.82
16,0.063889,76.65
17,0.054239,77.06
18,0.052576,76.25
19,0.052393,76.88
20,0.046968,75.88
21,0.040602,76.80
22,0.043773,76.68
23,0.042657,75.27
24,0.048749,77.49
25,0.029399,75.85
26,0.037603,77.60
27,0.032102,77.29
28,0.034408,76.00
29,0.058387,78.21
30,0.018213,78.24
