Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.098450,40.10
2,0.918119,52.00
3,0.841313,53.60
4,0.793460,56.20
5,0.760415,55.10
6,0.738705,56.50
7,0.719740,57.80
8,0.704349,53.30
9,0.689994,56.10
10,0.680156,55.10
11,0.673003,56.30
12,0.662924,55.60
13,0.653380,57.60
14,0.646163,56.80
15,0.639739,57.90
16,0.633294,56.20
17,0.623873,56.60
18,0.616430,56.50
19,0.610490,57.70
20,0.605252,56.90
21,0.597497,58.30
22,0.592217,53.20
23,0.585426,58.00
24,0.580989,56.70
25,0.577446,56.40
26,0.569221,58.00
27,0.562975,57.20
28,0.558294,56.20
29,0.552210,57.70
30,0.547161,55.80
