Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.392265,45.50
2,1.289531,52.00
3,1.245924,54.25
4,1.209610,49.50
5,1.190744,53.00
6,1.188951,54.25
7,1.186059,54.50
8,1.174629,54.25
9,1.166708,50.50
10,1.167287,55.00
11,1.162847,50.00
12,1.165754,54.25
13,1.156060,49.25
14,1.156158,54.50
15,1.144445,51.00
16,1.151910,54.25
17,1.140986,49.75
18,1.134108,54.00
19,1.127707,51.50
20,1.129233,47.25
21,1.124685,50.75
22,1.105981,53.50
23,1.096571,53.75
24,1.100740,54.00
25,1.106996,51.00
26,1.085733,51.75
27,1.077862,54.25
28,1.078926,50.75
29,1.074279,52.75
30,1.067675,53.75
