Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.363307,71.49
2,1.346607,73.23
3,1.330263,69.51
4,1.316763,71.31
5,1.310885,70.45
6,1.308554,73.34
7,1.302831,72.58
8,1.300850,73.77
9,1.298732,74.53
10,1.295957,74.11
11,1.294103,74.60
12,1.289989,73.19
13,1.287680,75.14
14,1.286759,76.10
15,1.283795,75.44
16,1.280830,76.50
17,1.280721,75.94
18,1.277919,75.51
19,1.276036,74.80
20,1.273399,77.25
21,1.271283,76.18
22,1.269387,76.91
23,1.266605,76.17
24,1.265717,77.44
25,1.261965,76.04
26,1.262432,76.83
27,1.260643,76.79
28,1.256643,77.73
29,1.255685,76.70
30,1.253006,77.26
