Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.843075,75.96
2,0.586265,78.78
3,0.528584,81.32
4,0.495774,80.63
5,0.471871,82.65
6,0.445635,83.18
7,0.427645,82.99
8,0.413218,84.22
9,0.398014,82.06
10,0.390322,84.99
11,0.377251,84.58
12,0.371465,84.85
13,0.363899,83.55
14,0.357095,84.93
15,0.349398,84.33
16,0.342420,85.14
17,0.336295,85.74
18,0.330221,84.91
19,0.327844,86.20
20,0.322234,85.62
21,0.316590,85.54
22,0.311238,86.01
23,0.307793,85.75
24,0.301367,86.19
25,0.297928,86.48
26,0.292065,85.73
27,0.289053,86.44
28,0.286678,86.24
29,0.281608,85.58
30,0.279048,85.56
