Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.728624,77.67
2,0.445933,73.15
3,0.358268,78.62
4,0.314379,73.51
5,0.282141,73.55
6,0.261012,81.23
7,0.241872,75.50
8,0.227016,71.82
9,0.213762,76.24
10,0.203666,78.65
11,0.194243,74.09
12,0.185023,75.29
13,0.179050,75.61
14,0.170267,76.03
15,0.163952,78.59
16,0.158745,74.43
17,0.153577,75.38
18,0.149253,70.74
19,0.141782,76.78
20,0.140937,73.96
21,0.135209,74.42
22,0.130224,68.73
23,0.126750,70.01
24,0.121784,71.67
25,0.118067,76.20
26,0.118241,76.94
27,0.111070,75.61
28,0.111683,76.60
29,0.105536,70.33
30,0.104522,74.00
