Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.745779,75.74
2,0.464291,74.11
3,0.384711,77.77
4,0.338433,78.44
5,0.306144,72.38
6,0.280224,73.82
7,0.263309,75.79
8,0.245934,76.55
9,0.232790,76.75
10,0.222165,75.72
11,0.210866,80.29
12,0.203056,73.86
13,0.193217,78.87
14,0.184188,75.26
15,0.179015,77.10
16,0.171236,73.68
17,0.167317,75.15
18,0.161726,72.20
19,0.156606,68.04
20,0.150494,77.86
21,0.144612,69.99
22,0.142119,75.46
23,0.137933,71.98
24,0.134194,72.14
25,0.129092,73.83
26,0.126781,73.86
27,0.121226,77.30
28,0.119011,74.83
29,0.117664,72.94
30,0.112993,71.11
