Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.064814,75.24
2,0.529254,80.12
3,0.435859,84.74
4,0.370122,84.77
5,0.329704,88.63
6,0.297460,89.65
7,0.301401,88.02
8,0.274017,89.80
9,0.246770,89.21
10,0.241120,90.56
11,0.224691,90.85
12,0.213041,91.82
13,0.217012,92.14
14,0.209512,92.40
15,0.204175,90.47
16,0.196071,90.50
17,0.195955,90.03
18,0.178944,91.49
19,0.172516,92.31
20,0.180960,92.49
21,0.171744,91.08
22,0.179323,92.58
23,0.161163,92.52
24,0.156784,92.11
25,0.158091,92.66
26,0.144931,91.20
27,0.155648,91.61
28,0.140088,90.30
29,0.143648,90.18
30,0.141845,92.22
