Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.864716,75.54
2,0.621009,77.99
3,0.561292,77.88
4,0.523170,78.59
5,0.493820,81.18
6,0.467597,83.05
7,0.450678,82.52
8,0.431787,83.60
9,0.419656,83.48
10,0.409335,83.68
11,0.399329,84.01
12,0.388011,84.03
13,0.383022,84.49
14,0.376560,83.69
15,0.368538,84.50
16,0.362685,84.47
17,0.354749,85.23
18,0.352237,84.87
19,0.345589,85.22
20,0.342711,86.13
21,0.336293,85.37
22,0.329360,85.25
23,0.327097,85.20
24,0.323099,85.00
25,0.316275,85.31
26,0.315169,85.11
27,0.310032,85.21
28,0.306433,85.71
29,0.300750,85.62
30,0.298768,86.08
