Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.628148,47.06
2,1.162021,52.20
3,1.008570,55.50
4,0.919665,55.53
5,0.840387,53.79
6,0.776611,57.18
7,0.725386,58.80
8,0.665015,59.49
9,0.625500,60.26
10,0.580214,60.08
11,0.539870,59.75
12,0.503407,58.59
13,0.484300,60.39
14,0.442839,59.00
15,0.417596,59.34
16,0.390773,58.76
17,0.365744,60.86
18,0.354231,60.60
19,0.326455,60.01
20,0.306247,59.74
21,0.302520,59.05
22,0.259186,59.35
23,0.246884,59.56
24,0.236200,59.19
25,0.236229,58.36
26,0.228130,59.92
27,0.206044,59.31
28,0.202190,59.90
29,0.181880,59.65
30,0.167324,60.45
