Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.103043,33.00
2,0.953360,43.30
3,0.875400,45.40
4,0.830863,52.30
5,0.797550,51.80
6,0.762131,54.60
7,0.739037,53.30
8,0.723043,55.00
9,0.711497,57.70
10,0.695993,56.00
11,0.686111,56.80
12,0.678949,56.70
13,0.669875,57.70
14,0.663925,55.10
15,0.657517,59.20
16,0.652136,55.10
17,0.642596,58.10
18,0.636411,56.10
19,0.631172,58.90
20,0.624099,58.10
21,0.619523,57.50
22,0.614870,58.10
23,0.607056,56.60
24,0.603959,56.10
25,0.599147,57.80
26,0.594006,57.60
27,0.587958,59.10
28,0.582228,56.30
29,0.578079,58.10
30,0.572930,57.00
