Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.862018,73.08
2,0.628285,73.08
3,0.577867,73.08
4,0.560514,73.08
5,0.563092,73.08
6,0.562635,73.08
7,0.553012,73.08
8,0.562178,73.08
9,0.559209,73.08
10,0.549068,73.08
11,0.556294,75.00
12,0.552267,73.08
13,0.552192,73.08
14,0.552741,72.44
15,0.543056,75.00
16,0.543852,76.28
17,0.535251,75.64
18,0.541616,76.28
19,0.537560,75.00
20,0.539376,76.28
21,0.541640,76.92
22,0.555642,73.72
23,0.544596,78.21
24,0.529291,76.28
25,0.535089,77.56
26,0.531998,76.92
27,0.522421,77.56
28,0.537844,75.00
29,0.533103,75.00
30,0.518722,77.56
