Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.460179,61.43
2,0.911014,67.99
3,0.730493,69.54
4,0.618150,71.92
5,0.553245,69.62
6,0.496169,73.70
7,0.440996,73.77
8,0.416677,75.02
9,0.368577,74.89
10,0.347901,75.47
11,0.317010,74.78
12,0.299948,75.52
13,0.269128,75.77
14,0.265359,75.05
15,0.235314,75.01
16,0.213264,74.95
17,0.206210,75.55
18,0.181476,75.80
19,0.178822,72.68
20,0.160260,76.14
21,0.146092,74.95
22,0.148374,74.95
23,0.124000,74.37
24,0.121567,74.85
25,0.120711,75.54
26,0.114747,75.07
27,0.111576,74.45
28,0.085314,74.89
29,0.100448,74.77
30,0.090339,75.60
