Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.995285,65.84
2,0.859508,69.18
3,0.797660,70.37
4,0.763389,70.52
5,0.738678,71.47
6,0.715918,73.17
7,0.693039,72.27
8,0.685088,72.62
9,0.670805,73.02
10,0.647516,72.67
11,0.638290,72.52
12,0.623700,74.06
13,0.606607,72.62
14,0.598129,73.17
15,0.572578,73.72
16,0.558752,73.37
17,0.551710,75.06
18,0.524580,73.32
19,0.511468,74.31
20,0.493114,74.56
21,0.468991,74.01
22,0.447335,73.02
23,0.442211,73.52
24,0.408815,73.22
25,0.396312,73.77
26,0.381869,72.77
27,0.349961,72.72
28,0.342782,73.27
29,0.315521,72.67
30,0.290138,71.97
