Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.097704,77.02
2,0.504872,82.34
3,0.406352,87.34
4,0.367427,85.97
5,0.312204,89.01
6,0.289672,90.03
7,0.263230,90.00
8,0.256160,90.65
9,0.237936,91.06
10,0.229010,88.72
11,0.222894,88.28
12,0.224315,91.17
13,0.196306,91.79
14,0.196875,87.84
15,0.194150,92.05
16,0.180607,90.50
17,0.195004,92.11
18,0.176408,91.90
19,0.171289,91.14
20,0.179641,91.76
21,0.163835,91.20
22,0.156106,91.11
23,0.151763,91.99
24,0.144074,91.26
25,0.149935,91.17
26,0.162270,92.11
27,0.136561,91.49
28,0.138283,91.99
29,0.123824,91.08
30,0.112699,91.32
