Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.952009,81.95
2,0.418049,89.06
3,0.304221,91.14
4,0.247799,92.29
5,0.221471,93.55
6,0.200238,93.45
7,0.186274,94.93
8,0.170319,94.34
9,0.159904,93.88
10,0.155419,94.90
11,0.144290,94.94
12,0.138164,95.00
13,0.131100,95.59
14,0.124924,95.62
15,0.121058,94.98
16,0.114585,94.48
17,0.109467,95.37
18,0.105820,95.72
19,0.103398,95.96
20,0.097687,96.31
21,0.095459,95.61
22,0.093367,96.26
23,0.090800,96.23
24,0.086377,96.34
25,0.084526,96.25
26,0.082598,95.88
27,0.080260,96.05
28,0.079217,96.56
29,0.074090,96.08
30,0.073073,96.49
