Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.725298,73.08
2,0.589061,73.08
3,0.577080,73.08
4,0.569336,73.08
5,0.566957,73.08
6,0.555994,73.08
7,0.566738,73.08
8,0.562294,73.72
9,0.548685,73.08
10,0.549568,73.08
11,0.556556,74.36
12,0.554593,73.08
13,0.548144,74.36
14,0.546416,73.08
15,0.547048,76.28
16,0.555865,73.08
17,0.542623,76.92
18,0.544230,76.28
19,0.565207,76.28
20,0.565860,73.08
21,0.553933,75.64
22,0.549606,74.36
23,0.551553,74.36
24,0.534958,78.21
25,0.540425,75.64
26,0.527557,78.21
27,0.528449,76.92
28,0.525821,76.92
29,0.526523,77.56
30,0.524477,77.56
