Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.519580,71.63
2,0.377353,79.81
3,0.314029,80.93
4,0.278980,82.37
5,0.254364,76.12
6,0.235769,84.78
7,0.228471,83.01
8,0.214627,85.10
9,0.201674,84.94
10,0.186902,83.01
11,0.184705,87.02
12,0.183871,83.65
13,0.174472,80.13
14,0.176312,84.13
15,0.165190,82.53
16,0.153131,82.37
17,0.149337,80.93
18,0.153193,84.94
19,0.143803,82.69
20,0.141036,84.78
21,0.131942,82.53
22,0.134618,83.33
23,0.131898,86.06
24,0.130166,81.41
25,0.134411,83.33
26,0.123507,84.78
27,0.135774,84.78
28,0.128599,82.21
29,0.116518,83.49
30,0.115775,84.78
