Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.490864,45.25
2,1.343491,47.25
3,1.290191,53.50
4,1.211342,50.00
5,1.198957,51.75
6,1.203979,51.00
7,1.173701,52.25
8,1.184968,54.50
9,1.170711,51.00
10,1.164623,51.00
11,1.155470,53.50
12,1.149660,48.75
13,1.146048,54.50
14,1.149124,53.25
15,1.141620,54.00
16,1.153127,49.50
17,1.134926,51.25
18,1.124916,49.75
19,1.117427,49.75
20,1.109998,51.00
21,1.101944,51.00
22,1.097495,54.50
23,1.069581,51.00
24,1.070965,51.25
25,1.070139,49.75
26,1.068290,47.25
27,1.059856,48.50
28,1.072248,49.00
29,1.023687,47.75
30,1.014028,49.25
