Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.985348,66.73
2,0.556881,70.93
3,0.415077,72.30
4,0.354891,73.44
5,0.316768,74.38
6,0.257439,74.47
7,0.223906,74.26
8,0.196484,73.82
9,0.170828,75.67
10,0.148784,73.84
11,0.135266,75.71
12,0.117892,74.71
13,0.106739,73.74
14,0.193963,75.87
15,0.089532,76.02
16,0.080178,75.32
17,0.079682,75.01
18,0.068276,75.79
19,0.064229,75.53
20,0.065515,75.75
21,0.053913,76.17
22,0.054571,74.54
23,0.048708,75.27
24,0.060293,75.53
25,0.081708,75.98
26,0.036709,76.22
27,0.052121,75.80
28,0.042434,77.37
29,0.044510,76.32
30,0.041697,76.27
