Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.505984,72.92
2,0.381101,80.45
3,0.328859,75.80
4,0.292859,79.17
5,0.263848,81.73
6,0.251195,76.92
7,0.245720,82.21
8,0.227899,82.85
9,0.218202,76.44
10,0.208178,84.62
11,0.195394,77.88
12,0.187258,83.65
13,0.182352,79.01
14,0.183702,85.10
15,0.168213,78.37
16,0.170741,84.78
17,0.168713,82.37
18,0.159771,81.73
19,0.149937,81.73
20,0.145542,81.57
21,0.156813,84.13
22,0.141660,83.17
23,0.145183,82.53
24,0.135513,82.21
25,0.136698,81.09
26,0.139175,81.89
27,0.140546,85.26
28,0.133484,83.17
29,0.124366,80.13
30,0.121975,83.81
