Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.503272,48.02
2,1.394115,48.99
3,1.354786,50.48
4,1.326497,50.46
5,1.305088,51.83
6,1.288330,53.05
7,1.273898,52.97
8,1.261494,52.11
9,1.252025,53.40
10,1.244410,53.76
11,1.237347,53.69
12,1.230177,54.47
13,1.223635,54.45
14,1.220503,53.45
15,1.214921,54.40
16,1.209548,54.27
17,1.204947,54.72
18,1.202321,54.48
19,1.200465,55.27
20,1.194726,52.94
21,1.189835,54.44
22,1.187196,55.21
23,1.184701,55.55
24,1.181168,54.85
25,1.177489,55.13
26,1.174617,55.27
27,1.171333,55.32
28,1.169822,55.49
29,1.166362,54.65
30,1.165222,55.48
