Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.008054,67.43
2,0.868125,68.43
3,0.833772,69.58
4,0.799779,70.02
5,0.774794,70.37
6,0.753283,70.42
7,0.735630,72.12
8,0.716273,72.37
9,0.701214,71.02
10,0.689341,72.42
11,0.685004,72.92
12,0.662833,73.17
13,0.656606,72.57
14,0.646574,72.97
15,0.633841,72.32
16,0.624928,74.31
17,0.613744,73.92
18,0.598807,73.92
19,0.587055,74.01
20,0.569037,73.52
21,0.555573,74.06
22,0.538960,73.97
23,0.523173,72.37
24,0.508138,73.87
25,0.490890,73.62
26,0.481140,73.02
27,0.454613,73.07
28,0.444492,73.42
29,0.429815,72.47
30,0.409599,71.97
