Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.505896,59.58
2,0.959925,65.40
3,0.759531,67.42
4,0.642814,69.66
5,0.573073,72.18
6,0.512207,72.12
7,0.468180,73.47
8,0.436640,75.16
9,0.408393,75.83
10,0.371362,75.94
11,0.348546,75.38
12,0.320603,75.12
13,0.306896,75.65
14,0.287097,76.02
15,0.263081,75.73
16,0.248066,75.99
17,0.232635,76.20
18,0.210218,75.79
19,0.214246,75.99
20,0.178233,76.46
21,0.168278,75.00
22,0.158028,75.49
23,0.151877,75.12
24,0.139175,75.88
25,0.138648,76.07
26,0.124549,76.44
27,0.109464,74.94
28,0.108049,75.29
29,0.092652,75.39
30,0.112934,74.66
