Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.361481,57.50
2,1.340856,58.16
3,1.324983,59.46
4,1.316945,61.10
5,1.309144,64.56
6,1.305528,65.67
7,1.302529,66.05
8,1.298342,65.79
9,1.298214,66.68
10,1.294416,68.15
11,1.290764,66.01
12,1.288568,67.49
13,1.285980,68.09
14,1.283248,69.87
15,1.281469,69.88
16,1.279365,70.65
17,1.275403,69.14
18,1.274440,72.12
19,1.270956,70.75
20,1.268475,72.28
21,1.264245,73.77
22,1.261529,72.69
23,1.258692,73.01
24,1.256938,72.38
25,1.251426,73.32
26,1.250768,73.24
27,1.246008,73.87
28,1.244314,74.64
29,1.239682,72.95
30,1.234169,74.44
