Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,0.940424,83.53
2,0.427830,88.16
3,0.316424,88.18
4,0.266380,91.41
5,0.233917,93.02
6,0.216101,92.43
7,0.197464,94.48
8,0.180821,93.71
9,0.169994,94.30
10,0.159226,95.48
11,0.153911,95.19
12,0.143846,94.94
13,0.143996,95.92
14,0.134780,95.61
15,0.128288,95.50
16,0.125740,95.13
17,0.120729,94.93
18,0.116033,95.80
19,0.112154,95.64
20,0.110305,95.74
21,0.104204,96.11
22,0.099470,96.28
23,0.099508,96.03
24,0.094555,96.39
25,0.094561,96.09
26,0.090550,95.63
27,0.086799,95.93
28,0.084342,96.24
29,0.084520,96.17
30,0.081823,96.12
