Epoch,Average_Training_Loss,Test_Accuracy_Percent
1,1.666812,44.82
2,1.247398,49.64
3,1.084587,53.33
4,0.961910,54.65
5,0.881222,57.36
6,0.823267,58.19
7,0.765278,57.41
8,0.725662,57.79
9,0.687356,57.81
10,0.649604,59.18
11,0.610268,58.39
12,0.575777,58.89
13,0.545792,57.35
14,0.518978,58.36
15,0.506481,59.35
16,0.456102,59.26
17,0.426353,59.71
18,0.420317,59.92
19,0.394410,59.03
20,0.368250,59.67
21,0.342819,59.82
22,0.326914,60.13
23,0.308131,60.51
24,0.289597,59.92
25,0.269596,60.09
26,0.264670,58.59
27,0.250864,60.52
28,0.233991,59.28
29,0.225886,59.43
30,0.198113,59.18
